Symbol,Name,Industry,Cur_Month,Accum,%MoM,%YoY,%YoY_Accum,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,trailingPE,forwardPE
6799,來頡 ,半導體業類,79272,79272,-3.63941360951061,12.2149399091205,12.2149399091205,0.20957,32.437,6.551161,5.19,7.32,40.944122,29.030054
6805,富世達 ,電子零組件業類,598201,598201,0.434510328015003,171.315118694497,171.315118694497,,,,,,,36.177937
6806,森崴能源 ,綠能環保類,956369,956369,-60.8981052710768,69.9972803819552,69.9972803819552,0.047480002,48.8,3.1967213,2.91,7.89,53.608246,19.771864
6807,峰源-KY ,,,,,,,0.0621,38.099,0.99740154,4.13,,9.200969,
6830,汎銓 ,其他電子業類,158474,158474,-1.88340474008767,19.5930903849492,19.5930903849492,0.15833999,53.59,2.910991,6.4,7.88,24.375,19.796953
6834,天二科技 ,電子零組件業類,90982,90982,27.3205614408262,41.9907609713465,41.9907609713465,-0.073359996,16.374,1.5695615,-0.8,,,
6835,圓裕 ,電子零組件業類,183983,183983,1.27040044034677,-9.69228730323125,-9.69228730323125,0.08420999,22.343,2.2467887,3.1,,16.193548,
6854,錼創科技-KY創 ,,,,,,,-0.76726997,19.683,4.5623126,-5.81,,,
6861,睿生光電 ,生技醫療類,165182,165182,-4.38809235773864,14.399096896621,14.399096896621,0.111899994,32.573,2.6402233,2.84,,30.28169,
6863,永道-KY ,,,,,,,0.17687,66.875,2.317757,5.71,7.71,27.145359,20.103762
6869,雲豹能源-創 ,綠能環保類,221756,221756,-55.0069288469303,-40.7492512030182,-40.7492512030182,0.13874,32.15,3.8569205,9.35,9.95,13.262032,12.462312
6873,泓德能源-創 ,綠能環保類,161768,161768,-90.3935561146897,-21.7112713545952,-21.7112713545952,0.12047,48.053,3.3296568,8.31,11.72,19.25391,13.651876
6901,鑽石投資 ,其他類,-696520,-696520,103.269732502962,-2507.35492344382,-2507.35492344382,,14.907,2.941571,-5.07,,,
6902,走著瞧-創 ,數位雲端類,75628,75628,-2.43310885775473,43.5011954005541,43.5011954005541,0.01688,15.264,10.089099,0.37,,416.21622,
6906,現觀科 ,數位雲端類,21612,21612,-48.7186788154898,47.814786950277,47.814786950277,0.21273,,,,,,
6916,華凌 ,光電業類,184484,184484,13.0430519981863,-28.0923927236443,-28.0923927236443,,,,,,,
6933,AMAX-KY ,,,,,,,,,,,,,
6937,天虹 ,半導體業類,107562,107562,-40.9113631993847,-49.7488892730169,-49.7488892730169,,,,,,,
8011,台通 ,通信網路業類,181922,181922,-3.10464391667688,41.1856922229207,41.1856922229207,-0.025510002,17.588,1.5123949,-0.29,1.58,,16.835443
